 offer_id |      offer_created_at      | platform | count_responds | count_prematch 
   156743 | 2022-05-01 19:14:37.913641 | admins   |              1 |              1
   156744 | 2022-05-01 19:14:48.086757 | admins   |              1 |              1
   156745 | 2022-05-01 19:27:57.165631 | admins   |              0 |              0
   156746 | 2022-05-01 19:42:53.890938 | admins   |              3 |              3
   156747 | 2022-05-01 19:43:24.554534 | admins   |              1 |              1
   156748 | 2022-05-01 19:44:04.245024 | admins   |              5 |              5
   156749 | 2022-05-01 19:44:57.218248 | admins   |              1 |              1
   156750 | 2022-05-01 19:45:28.839721 | admins   |              5 |              5
   156751 | 2022-05-01 19:45:42.201304 | admins   |              1 |              1
   156752 | 2022-05-01 19:46:29.218133 | admins   |              0 |              0
   156753 | 2022-05-01 19:47:35.185202 | admins   |              1 |              1
   156754 | 2022-05-01 19:48:10.368815 | admins   |              0 |              0
   156755 | 2022-05-01 19:48:51.262726 | admins   |              0 |              0
   156756 | 2022-05-01 19:49:39.013361 | admins   |              1 |              1
   156757 | 2022-05-01 19:50:05.526192 | admins   |              1 |              1
   156758 | 2022-05-01 19:50:43.275149 | admins   |              1 |              1
   156759 | 2022-05-01 19:51:31.751241 | admins   |              5 |              5
   156760 | 2022-05-01 19:52:38.685884 | admins   |              5 |              5
   156761 | 2022-05-01 20:01:47.361919 | admins   |              0 |              0
   156762 | 2022-05-01 20:04:48.818996 | admins   |              0 |              0
   156763 | 2022-05-01 20:08:37.237518 | admins   |              2 |              2
   156765 | 2022-05-01 20:41:30.824358 | admins   |              2 |              2
   156766 | 2022-05-01 20:43:51.760485 | admins   |              5 |              5
   156767 | 2022-05-01 20:46:30.189321 | admins   |              5 |              5
   156768 | 2022-05-01 20:49:52.521491 | admins   |              2 |              2
   156769 | 2022-05-01 20:50:13.210635 | admins   |              1 |              1
   156770 | 2022-05-01 20:53:22.660014 | admins   |              1 |              1
   156771 | 2022-05-01 20:53:35.324963 | admins   |              1 |              1
   156772 | 2022-05-01 20:54:53.923327 | admins   |              3 |              3
   156773 | 2022-05-01 20:57:12.784553 | admins   |              4 |              4
   156774 | 2022-05-01 20:59:02.310882 | admins   |              2 |              2
   156775 | 2022-05-01 21:02:15.947165 | admins   |              5 |              5
   156776 | 2022-05-01 21:05:12.07829  | admins   |              4 |              4
   156777 | 2022-05-01 21:07:35.215176 | admins   |              1 |              1
   156778 | 2022-05-01 21:09:03.564924 | admins   |              0 |              0
   156779 | 2022-05-01 21:11:35.869762 | admins   |              0 |              0
   156780 | 2022-05-01 21:17:45.95182  | admins   |              3 |              3
   156781 | 2022-05-01 21:19:40.758013 | admins   |              3 |              3
   156782 | 2022-05-01 21:21:23.952159 | admins   |              1 |              1
   156783 | 2022-05-01 21:21:57.730887 | admins   |              0 |              0
   156784 | 2022-05-01 21:22:16.131555 | admins   |              0 |              0
   156785 | 2022-05-01 21:23:20.458423 | admins   |              5 |              5
   156786 | 2022-05-01 21:25:43.423591 | admins   |              1 |              1
   156787 | 2022-05-01 21:33:05.422246 | admins   |              3 |              3
   156788 | 2022-05-01 21:36:22.89523  | admins   |              1 |              1
   156789 | 2022-05-01 21:38:04.114785 | admins   |              4 |              4
   156790 | 2022-05-01 21:38:43.382558 | admins   |              0 |              0
   156791 | 2022-05-01 21:39:36.427454 | admins   |              0 |              0
   156792 | 2022-05-01 21:40:28.041692 | admins   |              1 |              1
   156793 | 2022-05-01 21:40:37.84298  | admins   |              1 |              1
   156794 | 2022-05-01 21:41:43.281446 | admins   |              2 |              2
   156795 | 2022-05-01 21:43:00.315836 | admins   |              3 |              3
   156796 | 2022-05-01 21:44:51.642867 | admins   |              1 |              1
   156797 | 2022-05-01 21:47:07.33184  | admins   |              1 |              1
   156798 | 2022-05-01 21:49:31.576232 | admins   |              0 |              0
   156799 | 2022-05-01 21:51:30.77653  | admins   |              1 |              1
   156800 | 2022-05-01 21:51:33.044905 | admins   |              2 |              2
   156801 | 2022-05-01 21:53:58.520816 | admins   |              1 |              1
   156802 | 2022-05-01 21:55:31.886782 | admins   |              5 |              5
   156803 | 2022-05-01 21:59:52.568211 | admins   |              5 |              5
   156804 | 2022-05-01 22:02:11.811738 | admins   |              5 |              5
   156805 | 2022-05-01 22:04:38.406473 | admins   |              1 |              1
   156806 | 2022-05-01 22:14:09.088574 | admins   |              5 |              5
   156807 | 2022-05-01 22:17:20.547307 | admins   |              3 |              3
   156808 | 2022-05-01 22:19:10.922834 | admins   |              0 |              0
   156809 | 2022-05-01 22:21:23.829618 | admins   |              0 |              0
   156810 | 2022-05-01 22:22:11.11587  | admins   |              5 |              5
   156811 | 2022-05-01 22:23:01.004526 | admins   |              5 |              5
   156812 | 2022-05-01 22:24:29.720565 | admins   |              0 |              0
   156813 | 2022-05-01 22:26:52.991768 | admins   |              1 |              1
   156814 | 2022-05-01 22:27:17.643826 | admins   |              3 |              3
   156815 | 2022-05-01 22:43:11.153425 | admins   |              1 |              1
   156816 | 2022-05-01 22:51:43.007334 | admins   |              2 |              2
   156817 | 2022-05-01 23:08:55.57414  | admins   |              0 |              0
   156818 | 2022-05-01 23:14:35.913159 | admins   |              2 |              2
   156819 | 2022-05-01 23:14:36.563199 | admins   |              1 |              1
   156820 | 2022-05-01 23:23:13.070321 | admins   |              1 |              1
   156821 | 2022-05-01 23:57:48.421796 | admins   |              6 |              6
   156822 | 2022-05-02 00:06:59.82739  | admins   |              0 |              0
   156823 | 2022-05-02 00:27:01.647934 | admins   |              3 |              3
   156824 | 2022-05-02 00:38:32.03166  | admins   |              0 |              0
   156825 | 2022-05-02 00:41:44.392931 | admins   |              2 |              2
   156826 | 2022-05-02 00:47:34.697409 | admins   |              3 |              3
   156827 | 2022-05-02 00:51:07.369993 | admins   |              1 |              1
   156828 | 2022-05-02 00:52:57.833536 | admins   |              1 |              1
   156829 | 2022-05-02 00:55:07.07053  | admins   |              4 |              4
   156830 | 2022-05-02 00:55:48.123709 | admins   |              5 |              5
   156831 | 2022-05-02 01:07:47.4727   | admins   |              5 |              5
   156832 | 2022-05-02 01:15:39.374941 | admins   |              3 |              3
   156833 | 2022-05-02 01:20:45.325492 | admins   |              4 |              4
   156834 | 2022-05-02 01:24:31.996852 | admins   |              0 |              0
   156835 | 2022-05-02 01:29:05.458986 | admins   |              5 |              5
   156836 | 2022-05-02 01:45:50.946104 | admins   |              2 |              2
   156837 | 2022-05-02 01:49:40.04794  | admins   |              2 |              2
   156838 | 2022-05-02 01:54:31.873458 | admins   |              2 |              2
   156839 | 2022-05-02 01:57:00.774953 | admins   |              5 |              5
   156840 | 2022-05-02 02:20:27.275004 | admins   |              0 |              0
   156841 | 2022-05-02 02:20:52.049178 | admins   |              2 |              2
   156842 | 2022-05-02 02:23:11.506726 | admins   |              1 |              1
   156843 | 2022-05-02 02:23:48.984491 | admins   |              1 |              1
   156844 | 2022-05-02 02:24:26.467609 | admins   |              0 |              0
   156845 | 2022-05-02 02:25:13.43009  | admins   |              2 |              2
   156846 | 2022-05-02 02:26:09.413702 | admins   |              0 |              0
   156847 | 2022-05-02 02:27:18.668617 | admins   |              2 |              2
   156848 | 2022-05-02 02:27:56.442776 | admins   |              0 |              0
   156849 | 2022-05-02 02:28:49.600615 | admins   |              0 |              0
   156850 | 2022-05-02 02:29:21.490633 | admins   |              1 |              1
   156851 | 2022-05-02 02:29:36.714686 | admins   |              1 |              1
   156852 | 2022-05-02 02:30:53.211832 | android  |              0 |              0
   156853 | 2022-05-02 02:35:59.681754 | admins   |              1 |              1
   156854 | 2022-05-02 02:38:09.037444 | admins   |              5 |              5
   156855 | 2022-05-02 02:41:50.360532 | admins   |              5 |              5
   156856 | 2022-05-02 02:49:06.298135 | admins   |              1 |              1
   156857 | 2022-05-02 02:54:09.723113 | admins   |              1 |              1
   156858 | 2022-05-02 02:59:17.115693 | admins   |              0 |              0
   156859 | 2022-05-02 03:05:40.890657 | admins   |              1 |              1
   156860 | 2022-05-02 03:18:39.767148 | admins   |              0 |              0
   156861 | 2022-05-02 03:21:51.771706 | admins   |              0 |              0
   156862 | 2022-05-02 03:24:26.63841  | admins   |              1 |              1
   156863 | 2022-05-02 03:26:38.902924 | admins   |              0 |              0
   156864 | 2022-05-02 03:29:58.721627 | admins   |              0 |              0
   156865 | 2022-05-02 03:36:09.737339 | admins   |              1 |              1
   156866 | 2022-05-02 03:38:00.139758 | admins   |              5 |              5
   156867 | 2022-05-02 03:40:31.58131  | admins   |              1 |              1
   156868 | 2022-05-02 03:41:53.025565 | admins   |              3 |              3
   156869 | 2022-05-02 03:44:32.206569 | admins   |              2 |              2
   156870 | 2022-05-02 03:47:49.271236 | ios      |              2 |              2
   156871 | 2022-05-02 03:48:03.10166  | admins   |              1 |              1
   156872 | 2022-05-02 03:50:06.979316 | admins   |              3 |              3
   156873 | 2022-05-02 03:55:29.088522 | admins   |              1 |              1
   156874 | 2022-05-02 03:58:06.347244 | admins   |              1 |              1
   156875 | 2022-05-02 04:01:20.064049 | admins   |              1 |              1
   156876 | 2022-05-02 04:03:52.697356 | admins   |              1 |              1
   156877 | 2022-05-02 04:06:11.577787 | admins   |              3 |              3
   156878 | 2022-05-02 04:06:18.838539 | admins   |              1 |              1
   156879 | 2022-05-02 04:09:01.777274 | admins   |              1 |              1
   156880 | 2022-05-02 04:15:50.577309 | admins   |              1 |              1
   156881 | 2022-05-02 04:17:17.310063 | admins   |              0 |              0
   156882 | 2022-05-02 04:19:42.05772  | admins   |              1 |              1
   156883 | 2022-05-02 04:24:10.98356  | admins   |              4 |              4
   156884 | 2022-05-02 04:30:34.831017 | admins   |              3 |              3
   156885 | 2022-05-02 04:34:05.668814 | admins   |              2 |              2
